Comment,Author,Date
"Galera, eu morei na Georgia em 2009 com 17 anos. Essa foi minha segunda host family porque tive que mudar como falei no video. No canal já tem os 2 videos contando sobre o que aconteceu com a primeira família. Em outubro de 2017 eu mudei para Baltimore e to morando nos EUA de novo. Compartilho minha rotina aqui no insta tanto do meu site de viagens quanto no meu pessoal: @mustsharebr e @milafaria<br><br>O canal chama Camila e Bruna porque minha irmã trabalha no site comigo: @brunapfaria",Camila e Bruna,2018-02-07T22:53:57Z
"NOSSA, CHOREI AQUI, QUE LINDA SUAS FAMILIAS estadoudenses♥",Elizabeth Herrera,2023-03-29T06:29:30Z
"eu AMO voltar nesse vídeo. toda vez que lembro dele, venho aqui 💚",Bruna Marinho,2023-03-26T01:43:20Z
Quem é a produção que vc tá tô fala muie fico toda confusa 👀👀👀,Meu Dog Noah & Eu,2023-01-25T20:04:38Z
queria tanto ver como eles estão hoje em dia,Isa,2023-01-14T02:37:42Z
Ai chorei ❤❤ que lindos,Luiza Abroad,2023-01-05T05:51:15Z
Assisto esse vídeo até hoje ❤❤,Eduarda Alberti,2023-01-04T04:58:55Z
❤❤❤❤,PEDRO SILVESTRE,2023-01-02T04:30:50Z
"eu simplesmente amo esse video, venho aqui direto rever pq eu choro sempre, é uma emoção estranha pq é muito lindo tudo isso, meu sonho e ter outro reencontro, espero que um dia aconteça e você poste tudo aqui ❤️",Pedro Lucas,2022-12-13T07:44:51Z
"Nossa Camila, o dia que eu quiser chorar eu vou vir no seu canal 😭😭😭😂😂😂",Mariane Souza,2022-10-27T17:44:52Z
"🇺🇸🇧🇷Gostei da sua história! <br>Não divagou, foi bom!<br>As pessoas tem em comum o senso do bem querer, que o convívio pode despertar. <br>Parabéns, foi grata, aproveitou a oportunidade!",Neide Maria Sene Cortez,2022-10-15T11:57:30Z
Eu morrendo afogada de tanto chorar aqui 😭😭😭,NATALIA,2022-09-11T04:36:47Z
"Nossa sentir a Emoção daqui , e tão bom ser Amada 🥰",🍂Taiana Lima🍁,2022-09-03T12:44:58Z
Chorei junto...,Dayana Guimarães,2022-07-30T13:55:42Z
"Chorando claro, mais uma vez, mas curiosa pra saber como estao as meninas da primeira host family. Nao teve mais noticias?",Caua Duarte,2022-07-15T18:04:55Z
Chorei de mais!!❤️‍🔥,Aline Vitória,2022-07-14T23:17:10Z
Nossa muito amor por essa história,Stephanie Gonçalves Micheli,2022-07-08T23:47:10Z
Tô amando cada pedacinho das histórias de vocês!❤,Fernanda Barzon,2022-06-28T16:48:59Z
Que demais! choreiii...,Aline Melaré,2022-06-26T22:37:58Z
Me emocionei.,Lucas Oliveira,2022-06-21T17:02:36Z
Chorei como se fosse eu no seu lugar !!! Que incrível ❤️,Lidiane,2022-05-10T20:54:55Z
"Sério, eu to chorando 😭",Caroline Hommerding de Souza,2022-05-10T00:23:22Z
Chorei 😭...<br>Que Lindo!!!,Suellen Delucas,2022-04-02T21:25:03Z
Meu deus!!! Me acabei de chorar!!!! Que lindo!!!!!!!!! Estou vendo tudo do inicio!!! Que amor!!!!! Isso a gnt guarda para vida toda!,Ana Carolina Atta,2022-03-29T23:59:56Z
.,Arthur Luvizon,2022-03-27T22:47:44Z
Kdksk gostei dela! Ganhou mais um inscrito,Cristiane vitoria Da Silva Oliveira,2022-02-07T08:30:48Z
Esse canal é muito boooooom! Não consigo parar de ver!,Cynthia Pacce,2022-01-25T19:12:52Z
😭😭😭💗💗💗💗😭😭😭💗💗💗💗,Ateliê Coração de Biscuit Debby Biscuit,2022-01-19T18:47:31Z
Estou conhecendo seu canal é já estou apaixonada em casa história,Annie Sofhie furia do dia,2022-01-18T18:10:10Z
Lindo seu vídeo amei,Annie Sofhie furia do dia,2022-01-18T18:09:31Z
Ahhh choreiiii! Q lindooo,Dani Ciça,2022-01-14T16:12:18Z
"Camila eu estava conversando com a minha host mom agora e achei necessário falar aqui também, esse vídeo foi o vídeo que me apresentou intercâmbio de High School, eu chorei litros assistindo e não parei de pensar nisso desde então. Eu tinha 15 anos quando assisti pela primeira vez, em Maio de 2018, e foram seis meses pesquisando, seis meses tentando convencer a minha mãe, dois anos esperando(no meio de muitas vezes quase dando tudo errado por conta do covid) e agora eu finalmente realizei meu sonho e vou me formar no High School no final de Maio. Obrigada, eu nunca estive tão feliz e se não fosse por esse vídeo eu não sei se eu estaria aqui agora!",AindaSemNome (Still Unnamed),2022-01-13T23:28:17Z
Acompanho a Camila desde o começo e é incrível como a gente passa a gostar de uma pessoa sem nunca tê-la visto na vida.,Valéria Silva,2022-01-11T13:37:40Z
"esse vídeo é TÃO lindo, uma sensação tão mágica.",Ivane Cavalcanti,2022-01-10T22:04:15Z
Nossa vi esse vídeo 3 anos atrás e caio de paraquedas aqui ❤️,Claude Barbalho Jr.,2021-12-30T20:27:48Z
"Hello, I am Anna, the representative of Amazon Wealth. We need to do product promotion. We hope to cooperate with you. I don&#39;t know if you have any intention. Can you leave your contact information and send you relevant information in the future. You can also leave me a message directly",ziling zhang,2021-12-28T15:37:06Z
Lindo!  Emocionante!  Chorei junto...,tatiana molina,2021-12-24T10:51:22Z
❤️❤️❤️❤️,ariane santos,2021-11-30T14:43:48Z
"<a href=""https://www.youtube.com/watch?v=dPEXVZDBhdQ&amp;t=5m43s"">5:43</a> sotaque clássico da Georgia",Emanuelle,2021-11-26T14:18:14Z
E eu aqui não paro de chorar de emoção ao ver,Daiane Coelho,2021-11-17T15:00:11Z
"Eu chorando horrores, lembrando dos meus amigos da vida.",Rosely PMSilva,2021-09-23T19:10:42Z
Muito bom ver esse carinho e laço que você criou depois de ver tantas experiências traumáticas no YouTube.,Jackeline,2021-08-28T03:35:21Z
Muito legal seu video,Harll 🇧🇷,2021-08-25T22:04:34Z
Qual música do final???,Gaby tavares,2021-08-25T13:19:21Z
"Eu juro que eu tô chorando vendo esse vídeo, Camila. Cara, eu tenho um sonho tão grande de fazer Intercâmbio, mas ao mesmo tempo eu tenho um grande medo. E esse vídeo me deu uma experiência. 💙😭",Caique Souza,2021-08-24T03:54:32Z
"Camila como assim 27 anos? Tem uma carinha de criança,te dava no máximo 18 anos.",nanda goulart,2021-08-23T17:00:29Z
"ai todo vez que vejo esse video parece que foi a primeira, a emoção que trás ai quero muito ela voltando lá qualquer dia kk❤️",Pedro Lucas,2021-08-23T04:22:53Z
Até chorei com o  reencontro,Alexandre,2021-08-09T14:08:01Z
"Que história linda 😻 amei , sobre a primeira casa só Deus na causa por esse motivo eles só querem pessoas novas meninas de 17 até os 25 porque tem muitas meninas que não sabem se defende ainda bem que vc fugiu da primeira casa",Joelia Cardoso,2021-07-22T08:31:50Z
revendo pela milésima vez e me acabando de chorar,Thaís Alcântara,2021-07-08T01:01:36Z
Emocionante ❤️,Amanda Cely,2021-06-20T01:26:28Z
Vídeo lindo me emocionou,Marilon Marilon,2021-06-16T13:45:05Z
Tem um olho na minha lágrima 🥺,Amanda Poit Resende,2021-06-10T14:00:13Z
“what happened with you all these years?”<br>“i don’t know but i still love you” 🥺💖,agatha prado,2021-06-09T17:04:31Z
"Mds, eu chorei kkkkkkkkk que lindoo Camila, eu sempre me emociono com reencontros haha",Gabrielle,2021-05-31T00:39:15Z
"Mds Camila, estou assistindo esse vídeo hj e me emocionei junto!!! Af o canal de vcs é demais, Deus abenço sempre e que venham muitas outras histórias pela frente🥰",Gabrielly Alves,2021-05-15T23:27:46Z
"Muito emocionante, impossível não chorar",Tania Barros,2021-05-07T14:59:40Z
Até chorei,Srta.G(gabbie),2021-05-04T20:15:39Z
"Aiiii chorei com esse vídeo, que lindo rever pessoas especiais na vida da gente ❤️",Leni Oliveira,2021-05-01T19:57:35Z
Cara que lindo!!!!!! Amei esse vídeo ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Djey Souto,2021-04-30T01:31:33Z
chorei??????,Aline Leal,2021-04-28T06:06:09Z
Pior de TD q Camila faz a gente chorar junto hahaha,Maycon N Ferreira,2021-04-25T10:11:05Z
Que fofo MANO ! 🥺🤍✨,Clark,2021-04-21T18:56:14Z
chorei horroress,Esthefany Passos,2021-04-19T00:26:17Z
Valeu.,Manoel Almeida,2021-04-13T00:32:14Z
E eu que amo re-assistir esses vídeos ❤️,Cruise With Pride,2021-03-30T15:38:53Z
"Eu agora em 2021 assistindo esse vídeo, chorando litros de emoção sem nunca nem ter viajado",Yasmin Leão,2021-03-26T04:02:48Z
"Vi esse vídeo a uns 2 anos atrás me preparando pro intercâmbio e e hoje um ano depois de ter voltado pro Brasil, que incrível",Isadora Macedo,2021-03-25T23:11:07Z
Muito legal!,Andrea Neri Lobo,2021-03-22T17:27:12Z
⁰0,luciane1222 machado,2021-03-22T09:05:38Z
choreeei,Vika Araújo,2021-03-14T21:20:51Z
Velho! Esse vídeo me fez chorar muitoooo na época que saiu e até hoje ouço essa música e lembro de você! :((( &lt;3,maithealencar,2021-02-18T20:16:56Z
"Já vi esse vídeo umas 5 vezes,  muito legal",Arcosulcapixaba arcos artesanais,2021-02-11T16:10:37Z
Arrepiei &lt;3,Bella Diagramação,2021-01-23T22:22:23Z
Que lindo Cá😭❤️❤️,Cleo A,2021-01-23T12:11:48Z
Maravilhosa...camila..o seu trabalho..parabéns..felicidades,zah youtube axadossantosdeoliveira,2021-01-20T22:18:19Z
caiu um cisco aqui... :~~,Jokasta Peixoto,2021-01-17T21:17:13Z
As fotos no final acabou comigo 🥺,Laysla Monik,2021-01-17T19:27:41Z
"Chorei q video emocionante, nem todos americanos são secos ,vc conviveu com os q fazem a diferença na América, amo seus vídeos",coisas de Josi,2021-01-13T08:41:19Z
"Então, chorei... vídeo lindo demais!!! 💖✨",Elisete Moura,2021-01-03T21:41:56Z
"Muito legal, Imagino o nervosismo 😅",Elisabete Secundino dos santos carmo,2020-12-26T22:15:08Z
Pensei que era a família louca :v,Camaleonino #,2020-12-26T06:46:20Z
Muito lindo esses reencontro,Joao Nene,2020-12-24T07:34:33Z
Chorando 😭 Aqui!,Hilton Leal,2020-12-13T10:01:55Z
"Muito lindo, adorei esse vídeo!❤️❤️❤️",Hilton Leal,2020-12-13T09:56:41Z
Em 2020 e eu morrendo chorar com esse vídeo,Geovanna B Neto,2020-12-11T01:10:39Z
alguem sabe o nome da  musica do começo quando ela ta no aviao ?,Pedro Victor,2020-12-10T19:51:03Z
Se as pessoas entendesse que a vida é feita de encontro... Não trataria mal ninguém pq um dia podemos voltar e ser essa emoção.  Isso que vale a pena!  O resto são só detalhes!,IVONE 3JULIAS,2020-12-07T00:57:37Z
A galera que recebe esses estudantes ganha dinheiro e o lance vicia $$$$$,AC BC,2020-12-06T19:34:32Z
revendo esse vídeo que eu amo!!! você já parece naturalmente uma menina de 18 anos mas nesse vídeo tá demaisssss kkkkkkkkk,Mayra Campos,2020-12-05T04:58:51Z
O FINAL COM a música do Beatles. Eu chorei scr,Daniele Jenner,2020-12-04T18:44:10Z
Aí chorei na hora do encontro AAA,Daniele Jenner,2020-12-04T18:38:07Z
kkkkkkkkkkkkkkkkk a risada da moça,Marcelo Ribeiro,2020-12-04T15:45:22Z
Assistindo pela 10° vez kkkkk,Kaio Fernandes,2020-12-03T16:35:41Z
"Cheguei aqui no seu canal de paraquedas.<br>Camila, você é uma fofa!!! Me emocionei de assistir esse vídeo!!! Ri muito também. Thank you for sharing!😉👍🏼😀",Daniela G,2020-12-03T00:00:33Z
Pensei q era a casa da mãe doida  kkkkk,Eliane crys,2020-12-02T04:26:03Z
Que lindooo🙏🏻🙏🏻👏👏👏☺️😭,ADRIANA vitorino,2020-11-15T13:00:50Z
Lembrando que essa Família é Put* de uns Racistas.,Samuel Souza,2020-11-13T07:46:13Z
Chorei mesmo.,Taís Petry,2020-11-03T20:05:45Z
"Chama eles para visitarem o Brasil, e grava um vídeo com eles. Já estou ansioso para assistir!",Kaio Fernandes,2020-10-29T05:04:56Z
"Segunda vez vendo, segunda vez chorando",Milena Medeiros,2020-10-20T12:25:03Z
Eu chorei 😢,André Pereira,2020-10-19T17:03:58Z
Eu aqui chorando dois anos depois do seu reencontro 😭😂,Ellen Valeria Franco,2020-10-19T15:53:25Z
"Você foi muito corajosa em ficar na casa dessa família, no meu do nada, qdo só tinha 17 anos 😱<br>Eu iria pirar se a minha filha fizesse isso 🤪<br>Depois dessas recepções calorosas , como ainda podem dizer que os americanos estadunidenses são frios 🤓",MARCIA MARQUES,2020-10-18T22:35:39Z
"Que lindo , adoro seus videos",Josiane De Melo,2020-10-07T23:33:01Z
"Ahhh gente que amooor, me emocionei aqui. Rsrsr",Vampira🍷,2020-10-02T20:47:18Z
"AAAAAI QUE LEGAL MEU DEUS, EU N SEI PQ MAS TO CHORANDO, COM ESSA MÚSICA AINDA...<br>E to triste pq to com 20 anos e já sinto a síndrome do peter pan",Nathália,2020-09-26T15:19:55Z
"adorei!!! chorei junto, Camila .. Que legal a tua história &lt;3",Aline Konkevitz,2020-09-25T16:04:06Z
Bacana sua experiência e eu pude sentir a vibração top que foi,Taciane Revoredo,2020-09-23T03:04:41Z
"Nossa chorei muito que histórias lindas vc tem pra contar, quantas pessoas lindas existem por aí em cada cantinho do mundo só temos que ter a sorte de esbarrarmos nelas e vc foi uma contemplada.....Que Deus abençoe forte abraço.",Lucelia Rodrigues,2020-09-16T21:07:16Z
Eu já vi esse vídeo tantas vezes e me emocionei em todas ❤,Glau Rocha,2020-09-15T23:55:33Z
Chorei igual uma louca kkkkk...E ainda mais no final com essas fotos e a canção dos Beatles  😢😢😢,Fran soares,2020-09-12T23:06:20Z
