Title,Channel,Views,Likes,Category ID,Category Name,Timestamp
CORINTHIANS 0 x 1 ARGENTINOS JUNIORS - MELHORES MOMENTOS | CONMEBOL LIBERTADORES 2023,Paramount+ Brasil,409469,7973,24,Entertainment,2023-04-20 12:11:00
VIVI - VINGANCINHA (Clipe Oficial),Vivi,324218,35218,10,Music,2023-04-20 12:11:01
Mari Fernandez - QUANDO TEM SENTIMENTO (DVD Ao Vivo em São Paulo),Mari Fernandez,1681611,20155,10,Music,2023-04-20 12:11:01
INTER SE CLASSIFICA EM JOGO DE 6 GOLS E VAI ENCARAR O MILAN NA SEMI DA CHAMPIONS LEAGUE,TNT Sports Brasil,1331215,57053,17,Sports,2023-04-20 12:11:01
HAALAND HUMILHA UPAMECANO E ACABA COM O BAYERN! BAYERN DE MUNIQUE 1 X 1 MANCHESTER CITY | CHAMPIONS,TNT Sports Brasil,2353985,101715,17,Sports,2023-04-20 12:11:01
RODRYGO FAZ 2 E DESTRÓI O CHELSEA NA CHAMPIONS LEAGUE! CHELSEA 0 X 2 REAL MADRID | MELHORES MOMENTOS,TNT Sports Brasil,2951802,132688,17,Sports,2023-04-20 12:11:01
TRANSFORMEI O PORTAL DO END,Fixz,287195,14474,20,Gaming,2023-04-20 12:11:01
Presidente LULA fala ABSURDOS sobre VÍDEO-GAME e é duramente CRITICADO,Gameplayrj,192970,34699,20,Gaming,2023-04-20 12:11:01
São Paulo 2 x 0 Puerto Cabello - Melhores Momentos | CONMEBOL Sudamericana 2023,SBT Sports,323820,8338,17,Sports,2023-04-20 12:11:01
"PEDRO DESTRÓI, E FLAMENGO VENCE O ÑUBLENSE NA ESTREIA DE SAMPAOLI NA LIBERTADORES",ESPN Brasil,496243,22934,17,Sports,2023-04-20 12:11:01
VELOZES E FURIOSOS 10 | Trailer Oficial 2 (Universal Studios) - HD,Universal Pictures Brasil,51924,4127,24,Entertainment,2023-04-20 12:11:01
BLACKPINK Carpool Karaoke,The Late Late Show with James Corden,7076855,703197,24,Entertainment,2023-04-20 12:11:01
Loco Abreu | Visita Especial,Botafogo TV,42872,7690,17,Sports,2023-04-20 12:11:01
🌍 MODO DOMINAÇÃO com Teste de QI dos Mobs!,Geleia,882156,45266,20,Gaming,2023-04-20 12:11:02
"PISCINA, BANHEIRA OU BALDE EM 24 HORAS! - Desafio",Enaldinho,1019564,37248,20,Gaming,2023-04-20 12:11:02
FUI PEGAR O HAKI DA VISÃO NO BLOX FRUITS E LEVEI UMA SURRA DO PIRATA MAIS FORTE DO ONE PIECE!,Jazzghost,764390,45724,20,Gaming,2023-04-20 12:11:02
FLUMINENSE 1 x 0 THE STRONGEST - MELHORES MOMENTOS | CONMEBOL LIBERTADORES 2023,Paramount+ Brasil,512742,8507,24,Entertainment,2023-04-20 12:11:02
Foo Fighters - Rescued (Lyric Video),Foo Fighters,510806,29517,10,Music,2023-04-20 12:11:02
QUEM SOBREVIVEU AO TORNADO BASE DE OURO OU BASE DE DIAMANTE NO MINECRAFT,Lopers ,539446,18648,22,People & Blogs,2023-04-20 12:11:02
ALUGANDO O PIOR APARTAMENTO DO BRASIL,Felipe Neto,644462,71894,24,Entertainment,2023-04-20 12:11:02
💣BBB23: Boninho compartilha vídeo contra desérticas e causa; Boco Roso e Jojo Todynho são detonados,WebTVBrasileira,170759,18605,24,Entertainment,2023-04-20 12:11:02
DEIXEI A BASE DO MEU AMIGO INVISÍVEL PARA ME VINGAR,MucaHD,240820,13455,20,Gaming,2023-04-20 12:11:02
"VÍTOR ROQUE FAZ PINTURA, ATHLETICO- VENCE E COMPLICA ATLÉTICO-MG NA LIBERTADORES | MELHORES MOMENTOS",ESPN Brasil,984689,38856,17,Sports,2023-04-20 12:11:02
QUANDO A VISITA CHEGA - PLANETA DAS GÊMEAS,Planeta das Gêmeas,130640,4613,24,Entertainment,2023-04-20 12:11:02
CENI CAIU! DEMISSÃO PODE EVITAR O PIOR MAS NÃO RESOLVE OS PROBLEMAS ESTRUTURAIS DO SPFC!,BAROLO VÍDEOS,173954,24181,17,Sports,2023-04-20 12:11:03
"""Teu pai tá aqui! Pede bença!"" | Na Escuta: CBLOL 2023: 1ª Etapa (Grande Final)",CBLOL,108027,10622,20,Gaming,2023-04-20 12:11:03
Canção e Louvor - Espírito Santo (Vídeo Oficial) | Estações,duplacancaoelouvor,156899,10753,10,Music,2023-04-20 12:11:03
FIZ A TORTA ASSIM PARA MINHA MÃE E NÃO PARAM DE ME PEDIR ESSA RECEITA! FÁCIL! RÁPIDA-Isamara Amâncio,Isamara Amâncio,278397,14101,27,Education,2023-04-20 12:11:03
DICAS #2 RODADA | CARTOLA FC 2023 | COMO SEGUIR VALORIZANDO!,BetinGamer,106820,10203,17,Sports,2023-04-20 12:11:03
ABRINDO OS MEUS PRESENTES DE ANIVERSÁRIO!!! 🎁😍,Bia Chagas,51861,7923,23,Comedy,2023-04-20 12:11:03
Jorge Sampaoli comanda primeiro treinamento no Flamengo,FLA TV,398840,37038,17,Sports,2023-04-20 12:11:03
Fernandinho | Jeová (Álbum Único - Live),Fernandinho Ministério Faz Chover,119113,8232,24,Entertainment,2023-04-20 12:11:03
Peguei meu primeiro esturjão no lago San Joaquim Fishing Planet,LeyBritoGamer,47344,1513,20,Gaming,2023-04-20 12:11:03
Mega dumpster encontrei caixas cheias no lixo das lojas,Adeline Camargo,141905,25016,22,People & Blogs,2023-04-20 12:11:03
LBFF 2023 RODADA 03 AO VIVO - GRUPOS B E C | FREE FIRE ESPORTS BRASIL,Free Fire Esports Brasil #LBFF,618229,37130,20,Gaming,2023-04-20 12:11:03
Senador Sergio Moro concede entrevista sobre denúncia da PGR apresentada contra ele,TV Senado,214137,9002,25,News & Politics,2023-04-20 12:11:04
Primeira compra no mercado para o apartamento + limpeza e guardando tudo 🛒🛍️,Mabs,68727,8570,22,People & Blogs,2023-04-20 12:11:04
Gabriel Guedes - Ele Vem (Ao Vivo),Gabriel Guedes,73538,4908,10,Music,2023-04-20 12:11:04
"🔥BBB23: Domitila é eliminada, cactos tombam e % surpreende; Fim do Alface? Bate-boca: Lari X Ricardo",WebTVBrasileira,285289,25669,24,Entertainment,2023-04-20 12:11:04
"QUEM FICAR MAIS TEMPO NO CONCRETO, VENCE!",Enaldinho,1007107,44395,20,Gaming,2023-04-20 12:11:04
VLOG: A LOUD É BICAMPEÃ DO CBLOL!,LOUD League of Legends,80589,12100,24,Entertainment,2023-04-20 12:11:04
O PORÃO DA NOVA ESCOLA TAMBÉM TEM UM SEGREDO OBSCURO! - Kindergarten 2,Jazzghost,810106,49045,20,Gaming,2023-04-20 12:11:04
HAT-TRICK SENSACIONAL DO BENZEMA NA CHAMPIONS! CHELSEA 1 X 3 REAL MADRID | QUARTAS | CHAMPIONS 21/22,Melhor Futebol do Mundo - TNT Sports Brasil,356968,7078,17,Sports,2023-04-20 12:11:04
