Title,Channel,Views,Likes,Category ID,Category Name,Timestamp
CORINTHIANS 0 x 1 ARGENTINOS JUNIORS - MELHORES MOMENTOS | CONMEBOL LIBERTADORES 2023,Paramount+ Brasil,547759,9043,24,Entertainment,2023-04-20 16:38:29
Seu Osmar no Garimpo de Serra Pelada ( O Filme ),Evoney Fernandes,208352,32702,22,People & Blogs,2023-04-20 16:38:30
VIVI - VINGANCINHA (Clipe Oficial),Vivi,407336,39053,10,Music,2023-04-20 16:38:30
Mari Fernandez - QUANDO TEM SENTIMENTO (DVD Ao Vivo em São Paulo),Mari Fernandez,2149648,22328,10,Music,2023-04-20 16:38:30
🌍 MODO DOMINAÇÃO COM FRUTAS DO BLOX FRUITS!!,BREN0RJ,174564,9133,20,Gaming,2023-04-20 16:38:30
Deixa Eu Viver (Ao Vivo),Mari Fernandez - Topic,149417,12201,10,Music,2023-04-20 16:38:30
SAÍDA NÃO DESCARTADA! Alessandro fala sobre situação de FERNANDO LÁZARO no CORINTHIANS,Meu Timão,40152,1920,17,Sports,2023-04-20 16:38:30
INTER SE CLASSIFICA EM JOGO DE 6 GOLS E VAI ENCARAR O MILAN NA SEMI DA CHAMPIONS LEAGUE,TNT Sports Brasil,1479938,60560,17,Sports,2023-04-20 16:38:30
HAALAND HUMILHA UPAMECANO E ACABA COM O BAYERN! BAYERN DE MUNIQUE 1 X 1 MANCHESTER CITY | CHAMPIONS,TNT Sports Brasil,2608729,106911,17,Sports,2023-04-20 16:38:31
TRANSFORMEI O PORTAL DO END,Fixz,319921,15215,20,Gaming,2023-04-20 16:38:31
Presidente LULA fala ABSURDOS sobre VÍDEO-GAME e é duramente CRITICADO,Gameplayrj,208610,36185,20,Gaming,2023-04-20 16:38:31
FERNANDO LÁZARO TEM QUE SAIR! CRAQUE NETO FICA PISTOLA: CORINTHIANS NÃO VAI TER SEQUÊNCIA!,Craque Neto 10,54477,2827,17,Sports,2023-04-20 16:38:31
FIZEMOS UMA SURPRESA DE ANIVERSÁRIO PRO LUCAS ❤️,Sunaika Bruna,140527,18566,24,Entertainment,2023-04-20 16:38:31
RODRYGO FAZ 2 E DESTRÓI O CHELSEA NA CHAMPIONS LEAGUE! CHELSEA 0 X 2 REAL MADRID | MELHORES MOMENTOS,TNT Sports Brasil,2986577,133369,17,Sports,2023-04-20 16:38:31
VELOZES E FURIOSOS 10 | Trailer Oficial 2 (Universal Studios) - HD,Universal Pictures Brasil,99613,5509,24,Entertainment,2023-04-20 16:38:31
São Paulo 2 x 0 Puerto Cabello - Melhores Momentos | CONMEBOL Sudamericana 2023,SBT Sports,330917,8486,17,Sports,2023-04-20 16:38:31
VENCER NA VIDA - Japãozin e MC Marks (Clipe Oficial),Japãozin,79854,9027,10,Music,2023-04-20 16:38:32
"PEDRO DESTRÓI, E FLAMENGO VENCE O ÑUBLENSE NA ESTREIA DE SAMPAOLI NA LIBERTADORES",ESPN Brasil,731563,27127,17,Sports,2023-04-20 16:38:32
PRIMEIRA COMPRA DO MÊS MORANDO NO RIO DE JANEIRO,Thay Rodrigues,40475,6229,22,People & Blogs,2023-04-20 16:38:32
